medicine_name,manufacturer,composition,packaging,price(Rs.)
Ometab 20,Sun Pharma,Clopidogrel (400mg),6 tablets,404.06
Metsr 1000,Torrent Pharma,Alprazolam (1000mg),6 tablets,0.0
Doloxr 40,Hetero Drugs,ranitidine 500mg,5 ml,76.61
Augod 1000,Glenmark,PARACETAMOL-20mg,30 tablets,528.06
Amoxxr 40,Aurobindo Pharma,Ranitidine 10 mg,1 bottle,511.6
Cettab 10,Cipla,PANTOPRAZOLE-10mg,5 ml,547.45
Dolood 250,Aurobindo Pharma,diclofenac(40mg),5 ml,518.64
Augcin 250,Lupin,Amlodipine 40  mg,1 bottle,162.87
Dolods 20,Abbott India,clonazepam(200 mg),6 tablets,415.44
Azeeod 250,Aurobindo Pharma,aspirin 40 mg,15 tablets,14.89
Augforte 500,Dr Reddy,SERTRALINE-40mg,5 ml,203.89
Augsr 20,Abbott India,Pregabalin 1000  mg,10 tablets,273.27
Brucin 20,Lupin,Azithromycin (40 mg),1 bottle,333.07
Augforte 1000,Novartis India,zinc sulphate(100mg),15 tablets,496.58
Dolosr 250,Dabur Pharma,clopidogrel(400 mg),1 bottle,
Omecin 500,Sanofi India,rosuvastatin(100mg),30 tablets,299.51
Mettab 10,Dabur Pharma,levocetirizine 10mg,15 tablets,135.63
Clavtab 10,Cipla,Clopidogrel 10 mg,6 tablets,278.77
Bruod 10,Cipla,fluoxetine(250mg),10 capsules,555.23
Clavod 1000,Lupin,VITAMIN D3-40mg,1 bottle,306.43
Augcap 500,Glenmark,Aspirin 200 mg,30 tablets,252.35
Metsol 500,Novartis India,montelukast 400 mg,6 tablets,377.51
Dolotab 1000,Novartis India,amlodipine(40mg),6 tablets,340.87
Pands 250,Wockhardt,levocetirizine 400 mg,5 ml,22.96
Amoxcap 250,Intas Pharma,DOMPERIDONE-200mg,6 tablets,416.83
Azeesol 40,Lupin,Amoxicillin 500  mg,10 capsules,391.09
Dolods 250,Aurobindo Pharma,Glimepiride 500 mg,1 bottle,15.68
Clavsol 40,Himalaya,diclofenac 400mg,10 capsules,578.86
Brucin 10,Sanofi India,ATORVASTATIN-40mg,10 tablets,173.23
Cetcin 500,Pfizer India,losartan 250mg,6 tablets,557.75
Dolotab 40,Himalaya,Zinc sulphate 100 mg,10 capsules,196.17
Azeexr 250,Wockhardt,ATORVASTATIN-5mg,10 capsules,214.85
Clavds 10,Alkem Labs,clopidogrel 500 mg,5 ml,598.01
Clavod 500,Pfizer India,paracetamol 10mg,15 tablets,575.67
Amoxcin 20,Novartis India,azithromycin 1000 mg,6 tablets,494.69
Metforte 20,Intas Pharma,Diclofenac (40 mg),6 tablets,56.75
Metxr 250,Dr Reddy,Gabapentin (400 mg),15 tablets,129.7
Dolocin 250,Sun Pharma,FEXOFENADINE-1000mg,1 bottle,51.36
Brusr 40,Torrent Pharma,ATORVASTATIN-200mg,1 bottle,247.43
Clavcin 40,Dabur Pharma,Azithromycin (400 mg),10 tablets,510.16
Augxr 10,Dr Reddy,glimepiride(100mg),30 tablets,0.0
Bruds 1000,Zydus Cadila,PANTOPRAZOLE-400mg,6 tablets,576.4
Omecin 250,Novartis India,esomeprazole(250mg),15 tablets,347.05
Bruds 500,Hetero Drugs,OMEPRAZOLE-100mg,15 tablets,103.28
Pands 10,Himalaya,DOMPERIDONE-10mg,5 ml,389.65
Doloforte 500,Himalaya,LOSARTAN-10mg,1 bottle,405.41
Dolood 40,GSK India,atorvastatin 5mg,1 bottle,188.96
Dolosol 500,Mankind Pharma,Esomeprazole 250  mg,10 tablets,429.62
Augforte 1000,GSK India,esomeprazole 20mg,1 bottle,296.29
Amoxtab 40,Novartis India,OMEPRAZOLE-200mg,15 tablets,0.0
Clavsol 250,Himalaya,alprazolam(250mg),1 bottle,334.54
Clavplus 500,Aurobindo Pharma,sertraline 20mg,15 tablets,283.1
Cetds 500,Dabur Pharma,ALPRAZOLAM-250mg,6 tablets,272.16
Augsol 250,Cipla,metoprolol 40 mg,15 tablets,164.5
Pancin 40,GSK India,Clonazepam 500  mg,1 bottle,199.85
Cetxr 40,Novartis India,telmisartan(200mg),10 capsules,232.08
Azeexr 1000,Aurobindo Pharma,atorvastatin 5 mg,15 tablets,491.8
Cetsol 250,Zydus Cadila,calcium carbonate(250mg),1 bottle,312.61
Metxr 1000,Lupin,pantoprazole(500 mg),6 tablets,434.39
Metcin 500,Wockhardt,DOXYCYCLINE-200mg,10 tablets,347.5
Amoxcap 20,Cipla,AMOXICILLIN-200mg,15 tablets,575.28
Clavsr 10,Alkem Labs,Ibuprofen (100mg),1 bottle,108.98
Cetforte 10,Sanofi India,vitamin d3(40mg),30 tablets,361.15
Azeexr 500,Alkem Labs,Amlodipine (10mg),10 capsules,366.46
Ometab 10,Sanofi India,calcium carbonate(500mg),5 ml,398.36
Pands 10,Wockhardt,paracetamol(10 mg),30 tablets,143.86
Brucap 1000,Himalaya,rabeprazole(500 mg),10 tablets,290.47
Pancin 20,Torrent Pharma,Glimepiride 400  mg,15 tablets,317.34
Cetxr 40,Hetero Drugs,Doxycycline 250  mg,10 tablets,354.54
Brusol 10,Torrent Pharma,methylcobalamin(500 mg),6 tablets,334.85
Clavforte 40,Torrent Pharma,Pregabalin 400  mg,30 tablets,243.69
Metds 10,Mankind Pharma,Azithromycin 400 mg,10 tablets,473.36
Omecap 10,Sun Pharma,Metformin 40 mg,5 ml,556.11
Bruxr 20,Dabur Pharma,Ciprofloxacin (500 mg),10 tablets,396.46
Metds 1000,Pfizer India,Metformin 40 mg,10 tablets,123.29
Pancap 250,Hetero Drugs,Ciprofloxacin (40mg),15 tablets,598.12
Pantab 250,Alkem Labs,ondansetron(1000 mg),10 capsules,333.36
Clavsol 10,Torrent Pharma,vitamin d3 500 mg,15 tablets,558.39
Azeeplus 1000,Novartis India,Levocetirizine (5 mg),10 tablets,568.63
Clavsr 500,Pfizer India,gabapentin 200 mg,1 bottle,456.42
Amoxtab 10,GSK India,Tramadol (200 mg),10 tablets,383.13
Azeecin 40,Hetero Drugs,Ciprofloxacin 250  mg,10 capsules,500.65
Doloforte 500,Mankind Pharma,clopidogrel(1000mg),1 bottle,537.44
Metplus 500,Abbott India,DOMPERIDONE-40mg,6 tablets,143.69
Augod 250,Lupin,Rosuvastatin (20mg),10 tablets,460.43
Clavplus 10,Glenmark,sertraline(500 mg),1 bottle,116.26
Azeexr 10,Zydus Cadila,ondansetron(400mg),10 tablets,0.0
Azeesr 1000,Pfizer India,ROSUVASTATIN-1000mg,10 tablets,0.0
Dolood 1000,Lupin,doxycycline(1000 mg),30 tablets,118.79
Brusol 10,Mankind Pharma,zinc sulphate 250 mg,1 bottle,422.82
Clavsol 250,Himalaya,TELMISARTAN-20mg,15 tablets,434.72
Pancap 10,Zydus Cadila,RABEPRAZOLE-5mg,1 bottle,303.76
Amoxds 20,GSK India,clonazepam 400 mg,30 tablets,36.24
Doloplus 1000,Lupin,Doxycycline 200 mg,1 bottle,221.3
Clavsol 20,Lupin,Rosuvastatin 250 mg,30 tablets,348.93
Augtab 10,Sanofi India,glimepiride 500 mg,1 bottle,371.29
Brutab 250,Dabur Pharma,Pantoprazole 250  mg,10 capsules,103.9
Augforte 40,Aurobindo Pharma,glimepiride(200mg),30 tablets,355.46
Amoxtab 500,Abbott India,RANITIDINE-250mg,6 tablets,106.81
Bruds 250,Sun Pharma,Sertraline (400 mg),5 ml,69.53
Amoxsr 40,Abbott India,RABEPRAZOLE-100mg,6 tablets,82.84
Azeeplus 20,GSK India,amoxicillin 500 mg,1 bottle,271.35
Clavxr 20,Pfizer India,ranitidine(200 mg),6 tablets,386.75
Amoxforte 10,Dr Reddy,SERTRALINE-400mg,1 bottle,
Pansr 10,GSK India,amlodipine 500 mg,10 capsules,185.37
Metxr 20,Novartis India,Calcium Carbonate (400mg),30 tablets,266.77
Brusol 20,Torrent Pharma,RABEPRAZOLE-1000mg,10 tablets,460.61
Mettab 500,Torrent Pharma,telmisartan(100mg),1 bottle,88.88
Dolocin 500,GSK India,diclofenac(200mg),15 tablets,37.38
Augcin 500,Zydus Cadila,cetirizine 100mg,6 tablets,0.0
Augforte 10,Intas Pharma,Doxycycline 250  mg,5 ml,0.0
Brutab 20,Torrent Pharma,Omeprazole (20mg),5 ml,286.33
Augsol 40,Abbott India,Rabeprazole (250mg),1 bottle,596.76
Amoxforte 500,GSK India,CETIRIZINE-5mg,1 bottle,0.0
Amoxsol 1000,Torrent Pharma,Pregabalin (5 mg),1 bottle,533.41
Cetplus 20,Glenmark,Azithromycin 400 mg,10 tablets,
Dolotab 500,Dabur Pharma,Amoxicillin 200  mg,15 tablets,101.36
Azeetab 500,Zydus Cadila,metformin 500mg,6 tablets,296.8
Bruforte 40,Sun Pharma,ROSUVASTATIN-20mg,6 tablets,87.76
Augsol 20,Novartis India,diclofenac 400 mg,6 tablets,118.48
Cetsr 1000,Dr Reddy,TELMISARTAN-400mg,10 capsules,493.1
Dolood 500,Sun Pharma,ALPRAZOLAM-1000mg,10 capsules,197.85
Azeecap 20,GSK India,rabeprazole(5mg),5 ml,175.61
Cetcap 250,Cipla,Cetirizine (5 mg),5 ml,127.63
Clavplus 250,Sanofi India,Methylcobalamin 1000  mg,10 capsules,224.88
Panforte 20,Pfizer India,Doxycycline (40 mg),5 ml,448.14
Omeplus 250,Cipla,metformin(200mg),6 tablets,567.21
Azeesol 20,Alkem Labs,Ciprofloxacin 400  mg,15 tablets,378.19
Augxr 250,Hetero Drugs,levocetirizine(10mg),6 tablets,106.75
Doloforte 20,Dabur Pharma,clopidogrel(40mg),1 bottle,594.95
Azeesol 10,Abbott India,fexofenadine(250 mg),10 capsules,461.3
Panplus 20,Sun Pharma,Diclofenac 20  mg,6 tablets,17.65
Dolocin 40,Alkem Labs,PARACETAMOL-100mg,5 ml,494.82
Augforte 500,Lupin,METHYLCOBALAMIN-200mg,10 tablets,89.94
Bruod 500,Dr Reddy,ciprofloxacin 200mg,10 capsules,442.69
Amoxcin 40,Lupin,ranitidine(40 mg),10 capsules,486.54
Omesol 40,Wockhardt,Clopidogrel 500  mg,5 ml,
Dolods 20,Sanofi India,rabeprazole 500mg,10 tablets,96.55
Azeetab 500,Dabur Pharma,Metformin 1000  mg,10 capsules,263.71
Pands 10,Himalaya,Clopidogrel 1000 mg,6 tablets,163.43
Augxr 40,Novartis India,Amlodipine 20 mg,15 tablets,346.23
Bruforte 40,Dr Reddy,CLONAZEPAM-400mg,30 tablets,555.09
Dolood 40,Alkem Labs,fexofenadine 500 mg,30 tablets,22.33
Pansol 500,Zydus Cadila,zinc sulphate(20 mg),1 bottle,413.73
Cetplus 250,Abbott India,Omeprazole (10mg),10 capsules,211.22
Azeesol 500,Alkem Labs,sertraline 250mg,6 tablets,331.48
Azeecin 1000,Aurobindo Pharma,Zinc Sulphate (20mg),10 capsules,108.83
Pantab 10,Pfizer India,Zinc Sulphate (200mg),6 tablets,398.94
Brusol 10,Intas Pharma,Esomeprazole (10mg),5 ml,309.06
Azeesr 20,Mankind Pharma,Fluoxetine (400 mg),15 tablets,0.0
Brucap 250,Glenmark,aspirin 5 mg,1 bottle,213.29
Amoxxr 250,Cipla,aspirin 5 mg,6 tablets,566.93
Bruds 40,Dr Reddy,CLOPIDOGREL-1000mg,6 tablets,370.57
Clavforte 10,Wockhardt,ASPIRIN-200mg,30 tablets,329.0
Azeecap 10,Intas Pharma,GABAPENTIN-5mg,6 tablets,597.45
Azeetab 500,Dr Reddy,methylcobalamin 40mg,10 capsules,196.02
Amoxcap 500,Intas Pharma,Levothyroxine 10  mg,1 bottle,71.21
Metod 500,Himalaya,zinc sulphate(200mg),10 capsules,0.0
Clavsr 40,Sanofi India,OMEPRAZOLE-40mg,5 ml,392.54
Panxr 250,Alkem Labs,SERTRALINE-20mg,15 tablets,555.86
Clavsr 40,Mankind Pharma,Domperidone (5mg),1 bottle,200.34
Doloxr 20,Aurobindo Pharma,ondansetron(500mg),6 tablets,563.97
Pansol 20,Pfizer India,Amoxicillin (5 mg),1 bottle,
Augxr 1000,Alkem Labs,Rabeprazole (5 mg),30 tablets,466.02
Augtab 40,Zydus Cadila,glimepiride(500mg),1 bottle,304.39
Augcin 500,Wockhardt,Gabapentin 20 mg,30 tablets,276.58
Cettab 250,Glenmark,tramadol 1000mg,6 tablets,75.59
Bruds 10,Dabur Pharma,clonazepam(1000 mg),15 tablets,33.99
Panxr 1000,Mankind Pharma,METOPROLOL-40mg,5 ml,191.23
Clavplus 250,Alkem Labs,RANITIDINE-10mg,10 tablets,279.52
Augsr 10,Alkem Labs,PARACETAMOL-40mg,10 capsules,
Metcin 500,Novartis India,pregabalin(200mg),5 ml,
Omecin 250,Intas Pharma,amoxicillin(200 mg),30 tablets,254.84
Clavforte 250,Mankind Pharma,zinc sulphate(200 mg),1 bottle,63.13
Amoxsr 500,Novartis India,Rabeprazole 1000 mg,10 tablets,80.24
Pantab 20,Alkem Labs,LEVOCETIRIZINE-5mg,10 capsules,440.0
Doloplus 20,Dabur Pharma,Sertraline 100 mg,5 ml,348.48
Augsr 500,Sanofi India,Zinc sulphate 200  mg,6 tablets,531.13
Omesol 20,Sun Pharma,Domperidone (250mg),1 bottle,599.4
Amoxplus 250,Alkem Labs,Pregabalin (5mg),6 tablets,190.2
Clavod 250,Glenmark,paracetamol 10mg,1 bottle,500.57
Cetsr 20,Zydus Cadila,Sertraline (40 mg),1 bottle,538.39
Dolods 20,Himalaya,metformin 5 mg,6 tablets,19.08
Panforte 10,Torrent Pharma,ROSUVASTATIN-1000mg,5 ml,378.89
Amoxforte 40,Lupin,rabeprazole(40mg),5 ml,26.72
Azeeplus 500,Intas Pharma,Aspirin 500  mg,15 tablets,74.44
Augds 500,Sun Pharma,omeprazole(20 mg),5 ml,120.61
Omeds 40,Zydus Cadila,clonazepam 100mg,5 ml,
Panod 250,Sun Pharma,Rabeprazole (5 mg),30 tablets,205.31
Metforte 500,Intas Pharma,montelukast(250mg),6 tablets,121.99
Amoxtab 250,Zydus Cadila,diclofenac 10mg,15 tablets,575.31
Cetplus 20,Glenmark,gabapentin(500 mg),30 tablets,152.94
Pansr 40,Cipla,Clopidogrel 400  mg,15 tablets,37.87
Augod 1000,Himalaya,ondansetron(40mg),6 tablets,192.96
Omesr 250,Himalaya,Gabapentin 1000 mg,15 tablets,277.71
Clavplus 1000,Abbott India,TRAMADOL-40mg,15 tablets,240.11
Augtab 1000,Sun Pharma,Levothyroxine 20  mg,10 tablets,291.36
Brutab 1000,Sanofi India,ROSUVASTATIN-200mg,10 tablets,337.24
Clavsol 20,Wockhardt,tramadol(1000 mg),15 tablets,102.14
Dolods 40,Wockhardt,Doxycycline 200  mg,10 capsules,147.8
Augforte 20,Himalaya,Methylcobalamin (40 mg),10 capsules,65.81
Clavxr 1000,Lupin,ondansetron(1000mg),6 tablets,300.62
Cetsr 20,Zydus Cadila,Amlodipine (200 mg),6 tablets,180.57
Amoxxr 40,Himalaya,doxycycline 250 mg,5 ml,589.69
Amoxcin 1000,Zydus Cadila,Paracetamol 5  mg,5 ml,
Pansol 10,Intas Pharma,Pregabalin (500 mg),5 ml,423.72
Metcap 10,Wockhardt,Rabeprazole 1000  mg,10 capsules,90.33
Cetcap 250,Intas Pharma,ESOMEPRAZOLE-10mg,5 ml,0.0
Brusr 40,Dr Reddy,FLUOXETINE-10mg,15 tablets,365.82
Dolosol 500,Pfizer India,alprazolam(10 mg),1 bottle,0.0
Azeeod 1000,Torrent Pharma,fluoxetine(400mg),1 bottle,0.0
Omecap 40,Himalaya,Sertraline (500 mg),1 bottle,440.93
Clavtab 500,Dr Reddy,telmisartan(20 mg),10 capsules,287.69
Panforte 20,Intas Pharma,atorvastatin(400 mg),10 capsules,468.89
Amoxplus 500,Wockhardt,sertraline 200 mg,30 tablets,28.91
Cetod 250,GSK India,Methylcobalamin (200mg),10 capsules,396.54
Azeetab 1000,Dr Reddy,Ibuprofen 100 mg,15 tablets,157.21
Clavcap 40,Dabur Pharma,Losartan (250mg),15 tablets,272.42
Panforte 250,Sanofi India,ASPIRIN-40mg,5 ml,580.67
Augcap 500,Abbott India,Fluoxetine 10  mg,6 tablets,350.03
Brusr 1000,Mankind Pharma,Losartan (10mg),1 bottle,289.95
Cetds 10,GSK India,Ciprofloxacin 1000  mg,30 tablets,15.02
Doloxr 20,Lupin,Levothyroxine (5 mg),10 capsules,551.48
Augsol 40,Himalaya,telmisartan 10mg,1 bottle,405.76
Pantab 250,Sun Pharma,ranitidine(250 mg),6 tablets,251.46
Pancin 20,Torrent Pharma,rosuvastatin 400mg,15 tablets,62.43
Clavcap 10,Dr Reddy,Doxycycline (10mg),5 ml,396.59
Augtab 40,Torrent Pharma,RANITIDINE-10mg,30 tablets,276.44
Panxr 10,Dr Reddy,LEVOTHYROXINE-200mg,30 tablets,204.93
Metod 10,Dr Reddy,Losartan 40 mg,1 bottle,113.64
Amoxtab 250,Lupin,fexofenadine(5mg),1 bottle,51.17
Pancin 40,Zydus Cadila,Diclofenac 250 mg,6 tablets,239.17
Augsr 10,Sanofi India,Ondansetron (200 mg),6 tablets,247.12
Augtab 20,Sun Pharma,ATORVASTATIN-400mg,1 bottle,324.9
Azeeforte 250,Dr Reddy,Montelukast (1000 mg),30 tablets,505.98
Metplus 40,Cipla,domperidone(40mg),1 bottle,238.94
Pansol 250,Alkem Labs,Fluoxetine 1000 mg,15 tablets,434.09
Augcin 250,GSK India,atorvastatin 400 mg,10 capsules,208.86
Azeecap 40,Sanofi India,ONDANSETRON-10mg,1 bottle,
Pansol 40,GSK India,Metoprolol (40 mg),10 capsules,0.0
Cetod 250,Pfizer India,Metformin (100mg),10 capsules,492.14
Doloxr 1000,Alkem Labs,Zinc Sulphate (400mg),1 bottle,79.52
Dolotab 250,Himalaya,Levothyroxine (5mg),15 tablets,170.14
Clavcin 500,Pfizer India,ESOMEPRAZOLE-400mg,15 tablets,67.18
Pancap 250,Dr Reddy,Pantoprazole 250 mg,10 tablets,426.39
Amoxds 10,Zydus Cadila,SERTRALINE-20mg,6 tablets,251.92
Amoxforte 10,Dabur Pharma,Amoxicillin 40 mg,10 tablets,10.71
Azeeds 500,Hetero Drugs,clonazepam(10mg),5 ml,282.82
Augsr 500,Zydus Cadila,Metformin (5mg),6 tablets,102.58
Dolood 10,Wockhardt,ESOMEPRAZOLE-100mg,30 tablets,33.64
Ometab 500,GSK India,Ranitidine (40mg),10 capsules,435.07
Mettab 500,Lupin,DOMPERIDONE-250mg,30 tablets,444.75
Panxr 500,Himalaya,Ciprofloxacin 1000 mg,1 bottle,135.97
Doloplus 500,Alkem Labs,Esomeprazole 20 mg,6 tablets,0.0
Augsr 10,Zydus Cadila,methylcobalamin 500mg,10 tablets,109.35
Azeesol 250,Mankind Pharma,calcium carbonate(40mg),10 capsules,251.72
Panxr 40,Pfizer India,Doxycycline 200  mg,30 tablets,524.58
Brucin 250,Himalaya,CIPROFLOXACIN-200mg,10 tablets,594.83
Omesr 10,GSK India,Fexofenadine 5  mg,5 ml,
Mettab 250,Hetero Drugs,LEVOCETIRIZINE-5mg,30 tablets,292.03
Cetxr 500,Pfizer India,Methylcobalamin (200 mg),1 bottle,475.6
Panplus 10,Glenmark,Paracetamol 1000 mg,10 capsules,453.71
Pands 40,Dabur Pharma,Methylcobalamin (5mg),30 tablets,0.0
Doloforte 500,Dabur Pharma,Rabeprazole 500  mg,10 tablets,391.72
Omesr 40,Abbott India,doxycycline 20mg,10 capsules,563.98
Azeexr 1000,Hetero Drugs,doxycycline 400mg,30 tablets,40.24
Azeeds 1000,GSK India,Alprazolam (5 mg),6 tablets,275.57
Brucap 1000,Dr Reddy,Atorvastatin 5 mg,10 tablets,575.29
Metds 40,Zydus Cadila,Azithromycin 20 mg,5 ml,21.43
Panplus 500,Wockhardt,amlodipine 40 mg,1 bottle,45.27
Dolosr 20,Himalaya,Clonazepam 250  mg,30 tablets,402.19
Amoxcap 1000,Zydus Cadila,tramadol(100mg),5 ml,142.25
Cetod 500,Intas Pharma,metformin 20mg,1 bottle,429.39
Dolood 500,Lupin,METOPROLOL-40mg,10 tablets,269.01
Augds 500,Zydus Cadila,amoxicillin 250 mg,30 tablets,
Pands 20,Glenmark,Fluoxetine 20 mg,15 tablets,204.12
Augforte 40,Himalaya,GLIMEPIRIDE-200mg,6 tablets,74.49
Clavsol 10,Sun Pharma,pregabalin 10mg,1 bottle,219.58
Amoxsol 250,Abbott India,domperidone(200 mg),5 ml,57.49
Dolood 20,Alkem Labs,Omeprazole 5  mg,1 bottle,0.0
Bruforte 250,Wockhardt,ESOMEPRAZOLE-1000mg,30 tablets,176.51
Brusr 1000,Pfizer India,PREGABALIN-1000mg,6 tablets,104.96
Cetsol 1000,Dabur Pharma,levocetirizine(20mg),10 tablets,288.97
Bruplus 10,Dr Reddy,Atorvastatin 200  mg,10 tablets,111.54
Azeesr 250,Aurobindo Pharma,AMLODIPINE-5mg,30 tablets,495.1
Pancap 1000,Abbott India,Fluoxetine 400  mg,10 tablets,185.7
Metcin 250,Mankind Pharma,Azithromycin 100 mg,1 bottle,460.71
Bruplus 40,GSK India,calcium carbonate(500 mg),10 capsules,414.06
Amoxcap 20,Sun Pharma,esomeprazole(5 mg),5 ml,42.64
Doloxr 40,Cipla,AMLODIPINE-500mg,30 tablets,547.97
Cettab 20,Alkem Labs,clonazepam(1000mg),5 ml,453.56
Clavforte 500,Lupin,montelukast 200mg,10 capsules,15.64
Metcap 20,Mankind Pharma,fluoxetine 10 mg,10 tablets,138.9
Omexr 10,Novartis India,zinc sulphate(5 mg),6 tablets,550.29
Dolocap 10,Intas Pharma,ibuprofen 40 mg,6 tablets,534.72
Omesol 500,Sun Pharma,clopidogrel 40mg,6 tablets,515.23
Ometab 250,Dr Reddy,AMLODIPINE-5mg,1 bottle,466.62
Augtab 1000,Himalaya,cetirizine(500mg),10 tablets,
Metcap 40,Alkem Labs,cetirizine(10mg),10 capsules,216.11
Azeeod 500,Hetero Drugs,telmisartan 200 mg,15 tablets,306.91
Cetds 250,Alkem Labs,PARACETAMOL-5mg,30 tablets,584.36
Augtab 500,Himalaya,alprazolam 40 mg,15 tablets,502.17
Dolotab 10,Lupin,Alprazolam 400 mg,5 ml,73.31
Augtab 10,Dr Reddy,Glimepiride (400 mg),30 tablets,175.9
Brusol 250,Wockhardt,diclofenac(400mg),30 tablets,537.69
Omexr 10,GSK India,Esomeprazole (40mg),6 tablets,317.42
Cettab 1000,Lupin,ondansetron(1000 mg),6 tablets,585.32
Augplus 40,Wockhardt,ONDANSETRON-10mg,6 tablets,461.46
Augds 1000,Dabur Pharma,Ondansetron 500  mg,1 bottle,95.25
Omecin 250,Zydus Cadila,FLUOXETINE-40mg,10 tablets,0.0
Amoxod 20,Glenmark,ranitidine(1000 mg),15 tablets,65.03
Augsr 20,Intas Pharma,FLUOXETINE-20mg,6 tablets,162.91
Brusr 1000,Wockhardt,Gabapentin (250mg),10 tablets,
Brucap 1000,Mankind Pharma,ranitidine 400 mg,1 bottle,431.71
Augds 500,Himalaya,fluoxetine(400 mg),1 bottle,307.96
Panod 250,Glenmark,rabeprazole 500 mg,10 tablets,83.89
Bruforte 1000,Aurobindo Pharma,vitamin d3 250mg,10 tablets,0.0
Ometab 1000,Intas Pharma,ASPIRIN-400mg,10 capsules,75.77
Bruplus 250,Himalaya,Amoxicillin 20  mg,10 capsules,420.01
Omesr 250,Glenmark,Rabeprazole 200  mg,10 capsules,416.99
Brusol 10,Intas Pharma,clopidogrel(40mg),30 tablets,384.18
Amoxod 10,Torrent Pharma,gabapentin 5mg,10 tablets,484.32
Omeod 20,Glenmark,vitamin d3(10mg),30 tablets,289.36
Azeeforte 500,Wockhardt,montelukast 5 mg,6 tablets,253.27
Cetod 10,Sanofi India,Pregabalin (40mg),5 ml,134.07
Bruod 40,Dabur Pharma,tramadol(200mg),5 ml,379.04
Bruxr 1000,Intas Pharma,METOPROLOL-400mg,5 ml,517.23
Clavsol 10,Mankind Pharma,levocetirizine 200mg,30 tablets,
Brucin 500,Novartis India,Montelukast 20  mg,1 bottle,102.34
Augcin 250,Cipla,TELMISARTAN-400mg,6 tablets,516.87
Cetsol 250,Dr Reddy,atorvastatin 10 mg,1 bottle,346.02
Metod 250,GSK India,vitamin d3 5 mg,10 tablets,465.73
Omecap 500,Alkem Labs,Rabeprazole 400 mg,15 tablets,582.19
Omeforte 20,Novartis India,Vitamin d3 500 mg,30 tablets,258.88
Amoxcin 40,Hetero Drugs,Metoprolol 500  mg,5 ml,580.35
Amoxforte 40,Novartis India,metformin 400mg,1 bottle,80.26
Omesol 1000,Torrent Pharma,Rabeprazole 250 mg,30 tablets,132.55
Omesr 10,Torrent Pharma,Levothyroxine (10 mg),5 ml,444.27
Omeforte 10,Torrent Pharma,FEXOFENADINE-10mg,10 capsules,364.45
Augcap 250,Mankind Pharma,Tramadol (250mg),6 tablets,245.19
Cetod 40,Abbott India,OMEPRAZOLE-10mg,10 capsules,250.91
Doloplus 500,Himalaya,AMLODIPINE-200mg,5 ml,57.96
Azeeod 40,Sun Pharma,RABEPRAZOLE-200mg,10 tablets,143.39
Bruod 1000,Aurobindo Pharma,Losartan (40mg),10 capsules,96.36
Augsr 250,Sanofi India,Methylcobalamin (10mg),1 bottle,140.89
Brusol 20,Aurobindo Pharma,Telmisartan 100 mg,15 tablets,135.62
Cetcin 1000,Wockhardt,DOMPERIDONE-10mg,5 ml,585.87
Pansr 500,Pfizer India,aspirin(500 mg),10 tablets,523.89
Ometab 20,Dabur Pharma,Doxycycline 1000  mg,30 tablets,42.78
Clavxr 1000,Torrent Pharma,Rosuvastatin (500mg),10 capsules,586.69
Cetds 10,Mankind Pharma,pregabalin(500mg),30 tablets,558.75
Omeforte 250,Zydus Cadila,Levothyroxine 5  mg,30 tablets,587.28
Clavplus 20,Intas Pharma,Telmisartan 500  mg,30 tablets,193.3
Metcap 250,Pfizer India,fluoxetine(20mg),10 tablets,0.0
Augcin 10,Wockhardt,Losartan 40 mg,10 tablets,219.06
Omesol 1000,Lupin,FLUOXETINE-10mg,30 tablets,114.95
Pands 20,Alkem Labs,telmisartan(200 mg),10 capsules,114.9
Omexr 1000,Sun Pharma,fluoxetine 10mg,30 tablets,357.48
Augsr 40,Pfizer India,Metoprolol (250mg),5 ml,
Metcin 40,Himalaya,amoxicillin 20 mg,15 tablets,175.51
Cetsol 10,Aurobindo Pharma,Pregabalin (1000 mg),30 tablets,60.8
Augxr 40,Lupin,ONDANSETRON-100mg,30 tablets,485.36
Metsr 10,Hetero Drugs,Amlodipine (500 mg),10 capsules,532.16
Cetxr 40,Hetero Drugs,Fexofenadine 1000 mg,10 capsules,0.0
Azeeds 250,Zydus Cadila,CLOPIDOGREL-20mg,1 bottle,180.1
Amoxsol 20,Zydus Cadila,SERTRALINE-100mg,6 tablets,261.22
Brutab 10,Sanofi India,Amoxicillin (5 mg),1 bottle,399.23
Omesr 500,Sanofi India,Losartan (200 mg),10 tablets,473.42
Augsr 20,Himalaya,levocetirizine 100mg,6 tablets,486.24
Clavplus 40,Dr Reddy,RANITIDINE-5mg,6 tablets,
Bruod 40,GSK India,AZITHROMYCIN-250mg,1 bottle,296.14
Cetcin 500,Dr Reddy,esomeprazole 1000 mg,15 tablets,0.0
Cetsol 10,GSK India,DOMPERIDONE-250mg,6 tablets,506.52
Brucin 250,Zydus Cadila,Omeprazole 100 mg,1 bottle,106.33
Metsol 1000,Pfizer India,Fluoxetine (40 mg),10 capsules,345.1
Augod 20,Wockhardt,Paracetamol 10 mg,5 ml,
Clavsr 500,Himalaya,ondansetron(40 mg),6 tablets,430.86
Brusr 250,Torrent Pharma,Levothyroxine (400 mg),6 tablets,300.91
Metsr 1000,Intas Pharma,FEXOFENADINE-250mg,6 tablets,267.36
