medicine_name,manufacturer,composition,packaging,price,cleaned_composition,manufacturer_enc
Mettab 10,Abbott India,Atorvastatin 100 mg,10 tablets,76.66,atorvastatin 100mg,0
Pancap 10,Zydus Cadila,Ranitidine (10mg),6 tablets,572.19,ranitidine 10mg,19
Amoxtab 250,Zydus Cadila,losartan 40mg,6 tablets,206.33,losartan 40mg,19
Azeeforte 250,GSK India,Losartan (200 mg),1 bottle,303.77,losartan 200mg,6
Cetcin 20,Aurobindo Pharma,amoxicillin 40 mg,15 tablets,483.44,amoxicillin 40mg,2
Doloplus 250,Wockhardt,CIPROFLOXACIN-250mg,6 tablets,346.35,ciprofloxacin 250mg,18
Brutab 10,Sanofi India,METFORMIN-40mg,10 tablets,520.69,metformin 40mg,15
Metplus 20,Sun Pharma,Omeprazole 400  mg,30 tablets,472.43,omeprazole 400mg,16
Azeesol 500,Alkem Labs,Esomeprazole 200  mg,6 tablets,11.78,esomeprazole 200mg,1
Bruplus 250,Sun Pharma,rosuvastatin 250mg,5 ml,129.48,rosuvastatin 250mg,16
Metds 10,Dr Reddy,metformin 20mg,10 tablets,422.9,metformin 20mg,5
Brutab 20,Sanofi India,Omeprazole (200 mg),15 tablets,344.15,omeprazole 200mg,15
Bruforte 1000,Glenmark,aspirin 100mg,5 ml,276.03,aspirin 100mg,7
Cetsr 10,Zydus Cadila,Amlodipine (200 mg),10 tablets,193.91,amlodipine 200mg,19
Ometab 500,Pfizer India,doxycycline 20 mg,30 tablets,486.1,doxycycline 20mg,14
Augds 40,Sun Pharma,MONTELUKAST-200mg,1 bottle,333.67,montelukast 200mg,16
Metcap 500,Cipla,Amlodipine (10mg),5 ml,495.61,amlodipine 10mg,3
Omecin 250,Torrent Pharma,omeprazole(200 mg),5 ml,125.07,omeprazole 200mg,17
Pancap 20,Cipla,Omeprazole (250 mg),1 bottle,264.43,omeprazole 250mg,3
Cetplus 1000,Hetero Drugs,RABEPRAZOLE-10mg,15 tablets,272.04,rabeprazole 10mg,8
Azeesr 250,GSK India,zinc sulphate 400mg,1 bottle,59.93,zinc sulphate 400mg,6
Dolosr 20,Sun Pharma,clonazepam(400mg),1 bottle,470.61,clonazepam 400mg,16
Dolood 500,Mankind Pharma,levothyroxine 1000 mg,10 tablets,25.35,levothyroxine 1000mg,12
Cettab 500,Himalaya,sertraline 5 mg,15 tablets,396.86,sertraline 5mg,9
Cetcap 500,Aurobindo Pharma,metformin(400mg),30 tablets,358.77,metformin 400mg,2
Cetod 500,Himalaya,vitamin d3 250mg,10 capsules,503.32,vitamin d3 250mg,9
Cetforte 40,Dabur Pharma,sertraline 250mg,15 tablets,113.06,sertraline 250mg,4
Cettab 20,Himalaya,METFORMIN-250mg,6 tablets,517.52,metformin 250mg,9
Dolocap 500,Glenmark,Ondansetron (200 mg),30 tablets,441.55,ondansetron 200mg,7
Clavforte 500,Novartis India,FLUOXETINE-250mg,6 tablets,401.99,fluoxetine 250mg,13
Clavxr 20,Sun Pharma,GLIMEPIRIDE-20mg,6 tablets,27.17,glimepiride 20mg,16
Cetforte 40,Lupin,zinc sulphate(400mg),1 bottle,54.06,zinc sulphate 400mg,11
Metsol 40,Sun Pharma,Omeprazole 250  mg,30 tablets,48.13,omeprazole 250mg,16
Brucap 10,Pfizer India,Paracetamol 500 mg,6 tablets,299.9,paracetamol 500mg,14
Augtab 250,Abbott India,cetirizine(40 mg),15 tablets,182.59,cetirizine 40mg,0
Omeds 250,Aurobindo Pharma,ATORVASTATIN-250mg,15 tablets,208.07,atorvastatin 250mg,2
Cetcin 250,Dabur Pharma,IBUPROFEN-10mg,1 bottle,204.01,ibuprofen 10mg,4
Mettab 250,Intas Pharma,pregabalin 400 mg,30 tablets,240.6,pregabalin 400mg,10
Omeplus 10,GSK India,Pantoprazole (100mg),5 ml,286.8,pantoprazole 100mg,6
Dolocap 10,Hetero Drugs,GABAPENTIN-1000mg,1 bottle,34.41,gabapentin 1000mg,8
Ometab 40,Zydus Cadila,Telmisartan (200 mg),5 ml,211.52,telmisartan 200mg,19
Bruds 10,Cipla,vitamin d3(400mg),5 ml,579.65,vitamin d3 400mg,3
Brucin 20,Intas Pharma,Methylcobalamin 400 mg,10 tablets,346.16,methylcobalamin 400mg,10
Cetsol 500,Pfizer India,Zinc Sulphate (20mg),15 tablets,82.7,zinc sulphate 20mg,14
Dolotab 250,Dabur Pharma,FEXOFENADINE-5mg,30 tablets,237.75,fexofenadine 5mg,4
Clavod 20,Sun Pharma,Telmisartan 5  mg,5 ml,470.76,telmisartan 5mg,16
Clavtab 1000,Lupin,methylcobalamin(200 mg),10 tablets,521.55,methylcobalamin 200mg,11
Augcin 500,Himalaya,Losartan 1000  mg,10 capsules,171.05,losartan 1000mg,9
Metcin 40,Glenmark,Ondansetron 500 mg,6 tablets,289.33,ondansetron 500mg,7
Augtab 500,Torrent Pharma,clopidogrel 100mg,5 ml,87.56,clopidogrel 100mg,17
Omesol 10,Dabur Pharma,Levothyroxine 200 mg,6 tablets,133.14,levothyroxine 200mg,4
Cettab 1000,Sanofi India,Clonazepam (500 mg),5 ml,428.07,clonazepam 500mg,15
Augod 20,Pfizer India,esomeprazole(40 mg),15 tablets,215.06,esomeprazole 40mg,14
Cetod 500,Aurobindo Pharma,Omeprazole (100mg),10 tablets,515.41,omeprazole 100mg,2
Dolosr 1000,Wockhardt,losartan 100mg,1 bottle,137.18,losartan 100mg,18
Azeeforte 20,Lupin,zinc sulphate(1000 mg),10 tablets,391.23,zinc sulphate 1000mg,11
Doloplus 1000,Glenmark,Cetirizine (40 mg),30 tablets,396.42,cetirizine 40mg,7
Brucin 20,Wockhardt,fluoxetine 100mg,1 bottle,427.18,fluoxetine 100mg,18
Amoxcap 40,Hetero Drugs,Ciprofloxacin 400  mg,10 capsules,526.88,ciprofloxacin 400mg,8
Dolotab 500,Mankind Pharma,amlodipine(200mg),6 tablets,218.33,amlodipine 200mg,12
Augtab 10,Himalaya,clopidogrel 500 mg,30 tablets,39.78,clopidogrel 500mg,9
Clavsr 500,Glenmark,METOPROLOL-20mg,1 bottle,195.3,metoprolol 20mg,7
Pancin 10,Glenmark,FLUOXETINE-250mg,6 tablets,169.93,fluoxetine 250mg,7
Azeesol 250,Sun Pharma,gabapentin 5mg,30 tablets,408.63,gabapentin 5mg,16
Azeeod 1000,Lupin,ROSUVASTATIN-100mg,1 bottle,106.88,rosuvastatin 100mg,11
Doloxr 40,Dabur Pharma,glimepiride(20 mg),10 capsules,597.32,glimepiride 20mg,4
Panxr 40,Hetero Drugs,Alprazolam (40mg),6 tablets,159.43,alprazolam 40mg,8
Omexr 10,Cipla,Metformin (10mg),6 tablets,233.11,metformin 10mg,3
Omeds 1000,Intas Pharma,Metoprolol (5mg),1 bottle,376.7,metoprolol 5mg,10
Ometab 10,Lupin,cetirizine(5 mg),30 tablets,125.6,cetirizine 5mg,11
Cetcin 20,Wockhardt,clonazepam 5mg,30 tablets,301.84,clonazepam 5mg,18
Ometab 20,Sun Pharma,Clopidogrel (400mg),6 tablets,404.06,clopidogrel 400mg,16
Doloxr 40,Hetero Drugs,ranitidine 500mg,5 ml,76.61,ranitidine 500mg,8
Augod 1000,Glenmark,PARACETAMOL-20mg,30 tablets,528.06,paracetamol 20mg,7
Amoxxr 40,Aurobindo Pharma,Ranitidine 10 mg,1 bottle,511.6,ranitidine 10mg,2
Cettab 10,Cipla,PANTOPRAZOLE-10mg,5 ml,547.45,pantoprazole 10mg,3
Dolood 250,Aurobindo Pharma,diclofenac(40mg),5 ml,518.64,diclofenac 40mg,2
Augcin 250,Lupin,Amlodipine 40  mg,1 bottle,162.87,amlodipine 40mg,11
Dolods 20,Abbott India,clonazepam(200 mg),6 tablets,415.44,clonazepam 200mg,0
Azeeod 250,Aurobindo Pharma,aspirin 40 mg,15 tablets,14.89,aspirin 40mg,2
Augforte 500,Dr Reddy,SERTRALINE-40mg,5 ml,203.89,sertraline 40mg,5
Augsr 20,Abbott India,Pregabalin 1000  mg,10 tablets,273.27,pregabalin 1000mg,0
Brucin 20,Lupin,Azithromycin (40 mg),1 bottle,333.07,azithromycin 40mg,11
Augforte 1000,Novartis India,zinc sulphate(100mg),15 tablets,496.58,zinc sulphate 100mg,13
Omecin 500,Sanofi India,rosuvastatin(100mg),30 tablets,299.51,rosuvastatin 100mg,15
Mettab 10,Dabur Pharma,levocetirizine 10mg,15 tablets,135.63,levocetirizine 10mg,4
Clavtab 10,Cipla,Clopidogrel 10 mg,6 tablets,278.77,clopidogrel 10mg,3
Bruod 10,Cipla,fluoxetine(250mg),10 capsules,555.23,fluoxetine 250mg,3
Clavod 1000,Lupin,VITAMIN D3-40mg,1 bottle,306.43,vitamin d3 40mg,11
Augcap 500,Glenmark,Aspirin 200 mg,30 tablets,252.35,aspirin 200mg,7
Metsol 500,Novartis India,montelukast 400 mg,6 tablets,377.51,montelukast 400mg,13
Dolotab 1000,Novartis India,amlodipine(40mg),6 tablets,340.87,amlodipine 40mg,13
Pands 250,Wockhardt,levocetirizine 400 mg,5 ml,22.96,levocetirizine 400mg,18
Amoxcap 250,Intas Pharma,DOMPERIDONE-200mg,6 tablets,416.83,domperidone 200mg,10
Azeesol 40,Lupin,Amoxicillin 500  mg,10 capsules,391.09,amoxicillin 500mg,11
Dolods 250,Aurobindo Pharma,Glimepiride 500 mg,1 bottle,15.68,glimepiride 500mg,2
Clavsol 40,Himalaya,diclofenac 400mg,10 capsules,578.86,diclofenac 400mg,9
Brucin 10,Sanofi India,ATORVASTATIN-40mg,10 tablets,173.23,atorvastatin 40mg,15
Cetcin 500,Pfizer India,losartan 250mg,6 tablets,557.75,losartan 250mg,14
Dolotab 40,Himalaya,Zinc sulphate 100 mg,10 capsules,196.17,zinc sulphate 100mg,9
Azeexr 250,Wockhardt,ATORVASTATIN-5mg,10 capsules,214.85,atorvastatin 5mg,18
Clavds 10,Alkem Labs,clopidogrel 500 mg,5 ml,598.01,clopidogrel 500mg,1
Clavod 500,Pfizer India,paracetamol 10mg,15 tablets,575.67,paracetamol 10mg,14
Amoxcin 20,Novartis India,azithromycin 1000 mg,6 tablets,494.69,azithromycin 1000mg,13
Metforte 20,Intas Pharma,Diclofenac (40 mg),6 tablets,56.75,diclofenac 40mg,10
Metxr 250,Dr Reddy,Gabapentin (400 mg),15 tablets,129.7,gabapentin 400mg,5
Dolocin 250,Sun Pharma,FEXOFENADINE-1000mg,1 bottle,51.36,fexofenadine 1000mg,16
Brusr 40,Torrent Pharma,ATORVASTATIN-200mg,1 bottle,247.43,atorvastatin 200mg,17
Clavcin 40,Dabur Pharma,Azithromycin (400 mg),10 tablets,510.16,azithromycin 400mg,4
Bruds 1000,Zydus Cadila,PANTOPRAZOLE-400mg,6 tablets,576.4,pantoprazole 400mg,19
Omecin 250,Novartis India,esomeprazole(250mg),15 tablets,347.05,esomeprazole 250mg,13
Bruds 500,Hetero Drugs,OMEPRAZOLE-100mg,15 tablets,103.28,omeprazole 100mg,8
Pands 10,Himalaya,DOMPERIDONE-10mg,5 ml,389.65,domperidone 10mg,9
Doloforte 500,Himalaya,LOSARTAN-10mg,1 bottle,405.41,losartan 10mg,9
Dolood 40,GSK India,atorvastatin 5mg,1 bottle,188.96,atorvastatin 5mg,6
Dolosol 500,Mankind Pharma,Esomeprazole 250  mg,10 tablets,429.62,esomeprazole 250mg,12
Augforte 1000,GSK India,esomeprazole 20mg,1 bottle,296.29,esomeprazole 20mg,6
Clavsol 250,Himalaya,alprazolam(250mg),1 bottle,334.54,alprazolam 250mg,9
Clavplus 500,Aurobindo Pharma,sertraline 20mg,15 tablets,283.1,sertraline 20mg,2
Cetds 500,Dabur Pharma,ALPRAZOLAM-250mg,6 tablets,272.16,alprazolam 250mg,4
Augsol 250,Cipla,metoprolol 40 mg,15 tablets,164.5,metoprolol 40mg,3
Pancin 40,GSK India,Clonazepam 500  mg,1 bottle,199.85,clonazepam 500mg,6
Cetxr 40,Novartis India,telmisartan(200mg),10 capsules,232.08,telmisartan 200mg,13
Azeexr 1000,Aurobindo Pharma,atorvastatin 5 mg,15 tablets,491.8,atorvastatin 5mg,2
Cetsol 250,Zydus Cadila,calcium carbonate(250mg),1 bottle,312.61,calcium carbonate 250mg,19
Metxr 1000,Lupin,pantoprazole(500 mg),6 tablets,434.39,pantoprazole 500mg,11
Metcin 500,Wockhardt,DOXYCYCLINE-200mg,10 tablets,347.5,doxycycline 200mg,18
Amoxcap 20,Cipla,AMOXICILLIN-200mg,15 tablets,575.28,amoxicillin 200mg,3
Clavsr 10,Alkem Labs,Ibuprofen (100mg),1 bottle,108.98,ibuprofen 100mg,1
Cetforte 10,Sanofi India,vitamin d3(40mg),30 tablets,361.15,vitamin d3 40mg,15
Azeexr 500,Alkem Labs,Amlodipine (10mg),10 capsules,366.46,amlodipine 10mg,1
Ometab 10,Sanofi India,calcium carbonate(500mg),5 ml,398.36,calcium carbonate 500mg,15
Pands 10,Wockhardt,paracetamol(10 mg),30 tablets,143.86,paracetamol 10mg,18
Brucap 1000,Himalaya,rabeprazole(500 mg),10 tablets,290.47,rabeprazole 500mg,9
Pancin 20,Torrent Pharma,Glimepiride 400  mg,15 tablets,317.34,glimepiride 400mg,17
Cetxr 40,Hetero Drugs,Doxycycline 250  mg,10 tablets,354.54,doxycycline 250mg,8
Brusol 10,Torrent Pharma,methylcobalamin(500 mg),6 tablets,334.85,methylcobalamin 500mg,17
Clavforte 40,Torrent Pharma,Pregabalin 400  mg,30 tablets,243.69,pregabalin 400mg,17
Metds 10,Mankind Pharma,Azithromycin 400 mg,10 tablets,473.36,azithromycin 400mg,12
Omecap 10,Sun Pharma,Metformin 40 mg,5 ml,556.11,metformin 40mg,16
Bruxr 20,Dabur Pharma,Ciprofloxacin (500 mg),10 tablets,396.46,ciprofloxacin 500mg,4
Metds 1000,Pfizer India,Metformin 40 mg,10 tablets,123.29,metformin 40mg,14
Pancap 250,Hetero Drugs,Ciprofloxacin (40mg),15 tablets,598.12,ciprofloxacin 40mg,8
Pantab 250,Alkem Labs,ondansetron(1000 mg),10 capsules,333.36,ondansetron 1000mg,1
Clavsol 10,Torrent Pharma,vitamin d3 500 mg,15 tablets,558.39,vitamin d3 500mg,17
Azeeplus 1000,Novartis India,Levocetirizine (5 mg),10 tablets,568.63,levocetirizine 5mg,13
Clavsr 500,Pfizer India,gabapentin 200 mg,1 bottle,456.42,gabapentin 200mg,14
Amoxtab 10,GSK India,Tramadol (200 mg),10 tablets,383.13,tramadol 200mg,6
Azeecin 40,Hetero Drugs,Ciprofloxacin 250  mg,10 capsules,500.65,ciprofloxacin 250mg,8
Doloforte 500,Mankind Pharma,clopidogrel(1000mg),1 bottle,537.44,clopidogrel 1000mg,12
Metplus 500,Abbott India,DOMPERIDONE-40mg,6 tablets,143.69,domperidone 40mg,0
Augod 250,Lupin,Rosuvastatin (20mg),10 tablets,460.43,rosuvastatin 20mg,11
Clavplus 10,Glenmark,sertraline(500 mg),1 bottle,116.26,sertraline 500mg,7
Dolood 1000,Lupin,doxycycline(1000 mg),30 tablets,118.79,doxycycline 1000mg,11
Brusol 10,Mankind Pharma,zinc sulphate 250 mg,1 bottle,422.82,zinc sulphate 250mg,12
Clavsol 250,Himalaya,TELMISARTAN-20mg,15 tablets,434.72,telmisartan 20mg,9
Pancap 10,Zydus Cadila,RABEPRAZOLE-5mg,1 bottle,303.76,rabeprazole 5mg,19
Amoxds 20,GSK India,clonazepam 400 mg,30 tablets,36.24,clonazepam 400mg,6
Doloplus 1000,Lupin,Doxycycline 200 mg,1 bottle,221.3,doxycycline 200mg,11
Clavsol 20,Lupin,Rosuvastatin 250 mg,30 tablets,348.93,rosuvastatin 250mg,11
Augtab 10,Sanofi India,glimepiride 500 mg,1 bottle,371.29,glimepiride 500mg,15
Brutab 250,Dabur Pharma,Pantoprazole 250  mg,10 capsules,103.9,pantoprazole 250mg,4
Augforte 40,Aurobindo Pharma,glimepiride(200mg),30 tablets,355.46,glimepiride 200mg,2
Amoxtab 500,Abbott India,RANITIDINE-250mg,6 tablets,106.81,ranitidine 250mg,0
Bruds 250,Sun Pharma,Sertraline (400 mg),5 ml,69.53,sertraline 400mg,16
Amoxsr 40,Abbott India,RABEPRAZOLE-100mg,6 tablets,82.84,rabeprazole 100mg,0
Azeeplus 20,GSK India,amoxicillin 500 mg,1 bottle,271.35,amoxicillin 500mg,6
Clavxr 20,Pfizer India,ranitidine(200 mg),6 tablets,386.75,ranitidine 200mg,14
Pansr 10,GSK India,amlodipine 500 mg,10 capsules,185.37,amlodipine 500mg,6
Metxr 20,Novartis India,Calcium Carbonate (400mg),30 tablets,266.77,calcium carbonate 400mg,13
Brusol 20,Torrent Pharma,RABEPRAZOLE-1000mg,10 tablets,460.61,rabeprazole 1000mg,17
Mettab 500,Torrent Pharma,telmisartan(100mg),1 bottle,88.88,telmisartan 100mg,17
Dolocin 500,GSK India,diclofenac(200mg),15 tablets,37.38,diclofenac 200mg,6
Brutab 20,Torrent Pharma,Omeprazole (20mg),5 ml,286.33,omeprazole 20mg,17
Augsol 40,Abbott India,Rabeprazole (250mg),1 bottle,596.76,rabeprazole 250mg,0
Amoxsol 1000,Torrent Pharma,Pregabalin (5 mg),1 bottle,533.41,pregabalin 5mg,17
Dolotab 500,Dabur Pharma,Amoxicillin 200  mg,15 tablets,101.36,amoxicillin 200mg,4
Azeetab 500,Zydus Cadila,metformin 500mg,6 tablets,296.8,metformin 500mg,19
Bruforte 40,Sun Pharma,ROSUVASTATIN-20mg,6 tablets,87.76,rosuvastatin 20mg,16
Augsol 20,Novartis India,diclofenac 400 mg,6 tablets,118.48,diclofenac 400mg,13
Cetsr 1000,Dr Reddy,TELMISARTAN-400mg,10 capsules,493.1,telmisartan 400mg,5
Dolood 500,Sun Pharma,ALPRAZOLAM-1000mg,10 capsules,197.85,alprazolam 1000mg,16
Azeecap 20,GSK India,rabeprazole(5mg),5 ml,175.61,rabeprazole 5mg,6
Cetcap 250,Cipla,Cetirizine (5 mg),5 ml,127.63,cetirizine 5mg,3
Clavplus 250,Sanofi India,Methylcobalamin 1000  mg,10 capsules,224.88,methylcobalamin 1000mg,15
Panforte 20,Pfizer India,Doxycycline (40 mg),5 ml,448.14,doxycycline 40mg,14
Omeplus 250,Cipla,metformin(200mg),6 tablets,567.21,metformin 200mg,3
Azeesol 20,Alkem Labs,Ciprofloxacin 400  mg,15 tablets,378.19,ciprofloxacin 400mg,1
Augxr 250,Hetero Drugs,levocetirizine(10mg),6 tablets,106.75,levocetirizine 10mg,8
Doloforte 20,Dabur Pharma,clopidogrel(40mg),1 bottle,594.95,clopidogrel 40mg,4
Azeesol 10,Abbott India,fexofenadine(250 mg),10 capsules,461.3,fexofenadine 250mg,0
Panplus 20,Sun Pharma,Diclofenac 20  mg,6 tablets,17.65,diclofenac 20mg,16
Dolocin 40,Alkem Labs,PARACETAMOL-100mg,5 ml,494.82,paracetamol 100mg,1
Augforte 500,Lupin,METHYLCOBALAMIN-200mg,10 tablets,89.94,methylcobalamin 200mg,11
Bruod 500,Dr Reddy,ciprofloxacin 200mg,10 capsules,442.69,ciprofloxacin 200mg,5
Amoxcin 40,Lupin,ranitidine(40 mg),10 capsules,486.54,ranitidine 40mg,11
Dolods 20,Sanofi India,rabeprazole 500mg,10 tablets,96.55,rabeprazole 500mg,15
Azeetab 500,Dabur Pharma,Metformin 1000  mg,10 capsules,263.71,metformin 1000mg,4
Pands 10,Himalaya,Clopidogrel 1000 mg,6 tablets,163.43,clopidogrel 1000mg,9
Augxr 40,Novartis India,Amlodipine 20 mg,15 tablets,346.23,amlodipine 20mg,13
Bruforte 40,Dr Reddy,CLONAZEPAM-400mg,30 tablets,555.09,clonazepam 400mg,5
Dolood 40,Alkem Labs,fexofenadine 500 mg,30 tablets,22.33,fexofenadine 500mg,1
Pansol 500,Zydus Cadila,zinc sulphate(20 mg),1 bottle,413.73,zinc sulphate 20mg,19
Cetplus 250,Abbott India,Omeprazole (10mg),10 capsules,211.22,omeprazole 10mg,0
Azeesol 500,Alkem Labs,sertraline 250mg,6 tablets,331.48,sertraline 250mg,1
Azeecin 1000,Aurobindo Pharma,Zinc Sulphate (20mg),10 capsules,108.83,zinc sulphate 20mg,2
Pantab 10,Pfizer India,Zinc Sulphate (200mg),6 tablets,398.94,zinc sulphate 200mg,14
Brusol 10,Intas Pharma,Esomeprazole (10mg),5 ml,309.06,esomeprazole 10mg,10
Brucap 250,Glenmark,aspirin 5 mg,1 bottle,213.29,aspirin 5mg,7
Amoxxr 250,Cipla,aspirin 5 mg,6 tablets,566.93,aspirin 5mg,3
Bruds 40,Dr Reddy,CLOPIDOGREL-1000mg,6 tablets,370.57,clopidogrel 1000mg,5
Clavforte 10,Wockhardt,ASPIRIN-200mg,30 tablets,329.0,aspirin 200mg,18
Azeecap 10,Intas Pharma,GABAPENTIN-5mg,6 tablets,597.45,gabapentin 5mg,10
Azeetab 500,Dr Reddy,methylcobalamin 40mg,10 capsules,196.02,methylcobalamin 40mg,5
Amoxcap 500,Intas Pharma,Levothyroxine 10  mg,1 bottle,71.21,levothyroxine 10mg,10
Clavsr 40,Sanofi India,OMEPRAZOLE-40mg,5 ml,392.54,omeprazole 40mg,15
Panxr 250,Alkem Labs,SERTRALINE-20mg,15 tablets,555.86,sertraline 20mg,1
Clavsr 40,Mankind Pharma,Domperidone (5mg),1 bottle,200.34,domperidone 5mg,12
Doloxr 20,Aurobindo Pharma,ondansetron(500mg),6 tablets,563.97,ondansetron 500mg,2
Augxr 1000,Alkem Labs,Rabeprazole (5 mg),30 tablets,466.02,rabeprazole 5mg,1
Augtab 40,Zydus Cadila,glimepiride(500mg),1 bottle,304.39,glimepiride 500mg,19
Augcin 500,Wockhardt,Gabapentin 20 mg,30 tablets,276.58,gabapentin 20mg,18
Cettab 250,Glenmark,tramadol 1000mg,6 tablets,75.59,tramadol 1000mg,7
Bruds 10,Dabur Pharma,clonazepam(1000 mg),15 tablets,33.99,clonazepam 1000mg,4
Panxr 1000,Mankind Pharma,METOPROLOL-40mg,5 ml,191.23,metoprolol 40mg,12
Clavplus 250,Alkem Labs,RANITIDINE-10mg,10 tablets,279.52,ranitidine 10mg,1
Omecin 250,Intas Pharma,amoxicillin(200 mg),30 tablets,254.84,amoxicillin 200mg,10
Clavforte 250,Mankind Pharma,zinc sulphate(200 mg),1 bottle,63.13,zinc sulphate 200mg,12
Amoxsr 500,Novartis India,Rabeprazole 1000 mg,10 tablets,80.24,rabeprazole 1000mg,13
Pantab 20,Alkem Labs,LEVOCETIRIZINE-5mg,10 capsules,440.0,levocetirizine 5mg,1
Doloplus 20,Dabur Pharma,Sertraline 100 mg,5 ml,348.48,sertraline 100mg,4
Augsr 500,Sanofi India,Zinc sulphate 200  mg,6 tablets,531.13,zinc sulphate 200mg,15
Omesol 20,Sun Pharma,Domperidone (250mg),1 bottle,599.4,domperidone 250mg,16
Amoxplus 250,Alkem Labs,Pregabalin (5mg),6 tablets,190.2,pregabalin 5mg,1
Clavod 250,Glenmark,paracetamol 10mg,1 bottle,500.57,paracetamol 10mg,7
Cetsr 20,Zydus Cadila,Sertraline (40 mg),1 bottle,538.39,sertraline 40mg,19
Dolods 20,Himalaya,metformin 5 mg,6 tablets,19.08,metformin 5mg,9
Panforte 10,Torrent Pharma,ROSUVASTATIN-1000mg,5 ml,378.89,rosuvastatin 1000mg,17
Amoxforte 40,Lupin,rabeprazole(40mg),5 ml,26.72,rabeprazole 40mg,11
Azeeplus 500,Intas Pharma,Aspirin 500  mg,15 tablets,74.44,aspirin 500mg,10
Augds 500,Sun Pharma,omeprazole(20 mg),5 ml,120.61,omeprazole 20mg,16
Panod 250,Sun Pharma,Rabeprazole (5 mg),30 tablets,205.31,rabeprazole 5mg,16
Metforte 500,Intas Pharma,montelukast(250mg),6 tablets,121.99,montelukast 250mg,10
Amoxtab 250,Zydus Cadila,diclofenac 10mg,15 tablets,575.31,diclofenac 10mg,19
Cetplus 20,Glenmark,gabapentin(500 mg),30 tablets,152.94,gabapentin 500mg,7
Pansr 40,Cipla,Clopidogrel 400  mg,15 tablets,37.87,clopidogrel 400mg,3
Augod 1000,Himalaya,ondansetron(40mg),6 tablets,192.96,ondansetron 40mg,9
Omesr 250,Himalaya,Gabapentin 1000 mg,15 tablets,277.71,gabapentin 1000mg,9
Clavplus 1000,Abbott India,TRAMADOL-40mg,15 tablets,240.11,tramadol 40mg,0
Augtab 1000,Sun Pharma,Levothyroxine 20  mg,10 tablets,291.36,levothyroxine 20mg,16
Brutab 1000,Sanofi India,ROSUVASTATIN-200mg,10 tablets,337.24,rosuvastatin 200mg,15
Clavsol 20,Wockhardt,tramadol(1000 mg),15 tablets,102.14,tramadol 1000mg,18
Dolods 40,Wockhardt,Doxycycline 200  mg,10 capsules,147.8,doxycycline 200mg,18
Augforte 20,Himalaya,Methylcobalamin (40 mg),10 capsules,65.81,methylcobalamin 40mg,9
Clavxr 1000,Lupin,ondansetron(1000mg),6 tablets,300.62,ondansetron 1000mg,11
Cetsr 20,Zydus Cadila,Amlodipine (200 mg),6 tablets,180.57,amlodipine 200mg,19
Amoxxr 40,Himalaya,doxycycline 250 mg,5 ml,589.69,doxycycline 250mg,9
Pansol 10,Intas Pharma,Pregabalin (500 mg),5 ml,423.72,pregabalin 500mg,10
Metcap 10,Wockhardt,Rabeprazole 1000  mg,10 capsules,90.33,rabeprazole 1000mg,18
Brusr 40,Dr Reddy,FLUOXETINE-10mg,15 tablets,365.82,fluoxetine 10mg,5
Omecap 40,Himalaya,Sertraline (500 mg),1 bottle,440.93,sertraline 500mg,9
Clavtab 500,Dr Reddy,telmisartan(20 mg),10 capsules,287.69,telmisartan 20mg,5
Panforte 20,Intas Pharma,atorvastatin(400 mg),10 capsules,468.89,atorvastatin 400mg,10
Amoxplus 500,Wockhardt,sertraline 200 mg,30 tablets,28.91,sertraline 200mg,18
Cetod 250,GSK India,Methylcobalamin (200mg),10 capsules,396.54,methylcobalamin 200mg,6
Azeetab 1000,Dr Reddy,Ibuprofen 100 mg,15 tablets,157.21,ibuprofen 100mg,5
Clavcap 40,Dabur Pharma,Losartan (250mg),15 tablets,272.42,losartan 250mg,4
Panforte 250,Sanofi India,ASPIRIN-40mg,5 ml,580.67,aspirin 40mg,15
Augcap 500,Abbott India,Fluoxetine 10  mg,6 tablets,350.03,fluoxetine 10mg,0
Brusr 1000,Mankind Pharma,Losartan (10mg),1 bottle,289.95,losartan 10mg,12
Cetds 10,GSK India,Ciprofloxacin 1000  mg,30 tablets,15.02,ciprofloxacin 1000mg,6
Doloxr 20,Lupin,Levothyroxine (5 mg),10 capsules,551.48,levothyroxine 5mg,11
Augsol 40,Himalaya,telmisartan 10mg,1 bottle,405.76,telmisartan 10mg,9
Pantab 250,Sun Pharma,ranitidine(250 mg),6 tablets,251.46,ranitidine 250mg,16
Pancin 20,Torrent Pharma,rosuvastatin 400mg,15 tablets,62.43,rosuvastatin 400mg,17
Clavcap 10,Dr Reddy,Doxycycline (10mg),5 ml,396.59,doxycycline 10mg,5
Augtab 40,Torrent Pharma,RANITIDINE-10mg,30 tablets,276.44,ranitidine 10mg,17
Panxr 10,Dr Reddy,LEVOTHYROXINE-200mg,30 tablets,204.93,levothyroxine 200mg,5
Metod 10,Dr Reddy,Losartan 40 mg,1 bottle,113.64,losartan 40mg,5
Amoxtab 250,Lupin,fexofenadine(5mg),1 bottle,51.17,fexofenadine 5mg,11
Pancin 40,Zydus Cadila,Diclofenac 250 mg,6 tablets,239.17,diclofenac 250mg,19
Augsr 10,Sanofi India,Ondansetron (200 mg),6 tablets,247.12,ondansetron 200mg,15
Augtab 20,Sun Pharma,ATORVASTATIN-400mg,1 bottle,324.9,atorvastatin 400mg,16
